date,Bull Ranch,time,goring,injury,firstAid,pavement
7/11/10,Miura,3.02,1,3,33,Dry
7/12/10,Victoriano del Rio,2.17,NA,3,20,Dry
7/13/10,El Pilar,2.14,1,2,31,Dry
7/14/10,Jandilla,4.22,4,7,33,Dry
7/7/11,Torrestrella,2.3,NA,4,Not available,Dry
7/8/11,Cebada Gago,3.1,2,5,Not available,Dry
7/9/11,Dolores Aguirre,2.56,1,2,Not available,Dry
7/10/11,Miura,2.29,NA,10,Not available,Dry
7/11/11,Fuente Ymbro,2.33,NA,1,Not available,Dry
7/12/11,Victoriano del Rio,2.16,2,6,Not available,Dry
7/13/11,El Pilar,2.11,NA,7,Not available,Dry
7/14/11,Nunez del Cuvillo,2.21,NA,3,Not available,Dry
7/7/12,Dolores Aguirre,2.53,1,5,Not available,Wet
7/8/12,Miura,2.27,NA,2,Not available,Dry
7/9/12,Cebada Gago,3.37,3,4,Not available,Dry
7/10/12,El Pilar,2.23,NA,5,Not available,Dry
7/11/12,Fuente Ymbro,3.12,NA,2,Not available,Dry
7/12/12,Victoriano del Rio,2.21,NA,6,Not available,Dry
7/13/12,Juan Pedro Domecq,2.23,NA,6,Not available,Dry
7/14/12,Torrehandilla,2.33,NA,4,Not available,Dry
7/7/13,Alcurrucen,4.06,NA,4,Not available,Dry
7/8/13,Dolores Aguirre,2.27,NA,4,Not available,Dry
7/9/13,Valdefresno,2.27,NA,2,Not available,Dry
7/10/13,Victoriano del Rio,2.14,NA,3,Not available,Dry
7/11/13,Torrestrella,2.48,NA,2,Not available,Dry
7/12/13,El Pilar,4.57,3,4,Not available,Dry
7/13/13,Fuente Ymbro,4.16,2,21,Not available,Dry
7/14/13,Miura,2.16,1,4,Not available,NA
7/7/14,Torrestrella,2.25,1,5,Not available,Dry
7/8/14,Dolores Aguirre,2.21,NA,3,Not available,NA
7/9/14,Victoriano del Rio,3.23,2,3,Not available,Wet
7/10/14,Garcigrande,2.3,2,6,Not available,NA
7/11/14,Jandilla,2.53,NA,7,Not available,NA
7/12/14,Fuente Ymbro,2.5,NA,3,Not available,Wet
7/13/14,Adolfo Martin,2.52,NA,4,Not available,Dry
7/14/14,Miura,4.57,3,4,Not available,NA
7/7/15,Jandilla,2.23,3,8,Not available,Dry
7/8/15,Del Tajo y La Reina,2.14,1,2,Not available,Dry
7/9/15,Victoriano del Rio,2.27,NA,5,Not available,Dry
7/10/15,Fuente Ymbro,2.25,NA,NA,Not available,Dry
7/11/15,Jose Escolar,2.44,4,5,Not available,Dry
7/12/15,Conde de la Maza,2.27,NA,1,Not available,Dry
7/13/15,Garcigrande,2.12,2,1,Not available,Dry
7/14/15,Miura,2.05,NA,5,Not available,NA
